tractID,disposable_income
32400,12232.0095
10100,22077.84024
10200,20488.60531
10300,15514.61337
10400,35131.00534
10500,26533.77878
10600,20068.55733
10700,9521.31211
10800,45263.96035
10900,4872.965641
11000,23291.68331
11100,20961.25646
11200,34957.37532
11300,25202.30538
11400,34451.06285
11500,31169.25808
11600,22312.28399
2000,19605.48063
2200,27755.40986
2300,30594.58021
2400,37706.10776
2700,27318.94126
2800,9074.362611
2900,32965.8603
3000,10248.75026
3100,14689.87193
3500,32497.9508
4000,26931.10945
4101,13480.06395
4102,18492.37501
4200,15042.2573
4300,15403.34716
4400,11033.85649
4500,15001.93786
4600,4310.274155
4700,20848.51504
4800,34678.38555
4900,16925.9984
5200,13562.68316
5300,22375.20887
5400,50802.67246
5500,20790.04771
5600,14262.83631
5801,14881.59011
5802,94500.70808
5900,39006.31363
6000,12209.78598
6100,19328.06108
6200,9618.817915
6300,18251.33731
13400,26165.1491
13500,24910.91013
13600,7911.279242
13700,15687.77429
14200,24365.1765
14300,21890.76184
15100,18984.37725
13800,28418.48918
13900,28899.48067
18400,52642.51234
18500,51655.61188
18600,37904.28263
18800,40259.133
18900,46899.08594
19000,26379.42752
19100,38031.64982
19200,78131.48138
19300,33424.93624
19400,40206.79584
100,21844.06438
200,13104.31563
300,18518.35032
400,34533.87503
500,26328.21317
700,20328.21399
800,31017.50465
902,12849.11103
1000,34290.85028
1100,22123.30832
1201,38644.40093
1202,4378.503284
1300,23374.58046
1400,23733.34762
1800,3665.884995
1900,13218.94586
52904,36299.80856
54300,36282.54704
53403,38150.25872
53603,49774.84193
53905,39459.09871
54202,65317.22243
54201,46119.69319
50704,40907.90407
53707,52707.38372
52204,66756.56597
53904,52548.76421
53404,38747.39914
53604,46911.13638
720001,16566.52918
732103,24515.96616
735101,16734.00677
980000,0
980100,0
722002,21232.89554
732104,29659.82728
735001,27181.99521
735002,32658.52851
735103,27141.34203
724000,24357.58568
728000,10561.76627
731002,32220.20354
731103,26347.83503
731101,28865.02562
731204,17387.7588
731205,15005.09826
713800,34733.72442
713000,22902.49553
713100,28411.94455
713203,19003.70831
713401,31327.87521
713300,12499.20975
713500,23840.65925
713600,36651.61487
713700,51692.44104
713900,15808.04448
714000,21722.39651
714100,18792.80986
714200,26319.11433
714300,31007.79888
